name,image,code,category,sub_type,company,product_link
8/16/32 Channel Penta-brid 1080P Lite 2U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5808_16_32S_thumb.png,XVR5808/16/32S,light_dvr,2U,Dahua,https://www.dahuasecurity.com/products/productDetail/10571 
32 Channel Penta-brid 1080P 1.5U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180607/XVR5432L-X_thumb.png,XVR5432L-X,light_dvr,1.5U,Dahua,https://www.dahuasecurity.com/products/productDetail/23397 
8/16/32 Channel Penta-brid 1080P Lite 1.5U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5408_16_32L_thumb.png,XVR5408/16/32L,light_dvr,1.5U,Dahua,https://www.dahuasecurity.com/products/productDetail/10561 
32 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5232AN-X_thumb.png,XVR5232AN-X,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/20557 
16 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5216A-X_thumb.png,XVR5216A-X,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/20547 
16 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5216AN-X_thumb.png,XVR5216AN-X,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/20537 
8/16 Channel Penta-brid 4K 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5208-16AN-4KL-X_thumb.png,XVR5208/16AN-4KL-X,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/20487 
16/32 Channel Penta-brid 720P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR4216-32AN-X_thumb.png,XVR4216/32AN-X,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/20427 
8/16 Channel Penta-brid 4K 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5208_16AN-4KL-8_16P_thumb.png,XVR5208/16AN-4KL-8/16P,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/18481 
32 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5232A-S2_thumb.png,XVR5232AN-S2,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/17331 
4/8/16 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5204_08_16A_-S2_thumb.png,XVR5204/08/16A-S2,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/17321 
4/8/16 Channel Penta-brid 1080P Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/upfiles/XVR5204_08_16_32AN-S2_thumb.png,XVR5204/08/16AN-S2,light_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/17311 
4 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR5104H-X_thumb.png,XVR5104H-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/21817 
4 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180423/DH-XVR5104HE-X_thumb.png,XVR5104HE-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/21797 
8/16 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108-16H-X_thumb.png,XVR5108/16H-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/20517 
8/16 Channel Penta-brid 1080P Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108-16HE-X_thumb.png,XVR5108/16HE-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/20497 
8/16 Channel Penta-brid 4K Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5108-16H-4KL-X_thumb.png,XVR5108/16H-4KL-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/20467 
4 Channel Penta-brid 4K Mini 1U Digital Video Recorder,https://www.dahuasecurity.com/asset/upload/product/20180308/DH-XVR5104H-4KL-X_thumb.png,XVR5104H-4KL-X,light_dvr,Mini default,Dahua,https://www.dahuasecurity.com/products/productDetail/20447 
