name,code,product_link
1 MP HDCVI BoxCamera,CP-UVC-BC10-A,http://www.cpplusworld.com/cp-uvc-bc10-a
1MP HD HDCVI Pinhole Camera,CP-UVC-PC10,http://www.cpplusworld.com/cp-uvc-pc10
1 MP HDCVI IR Dome Camera - 20Mtr.,CP-UVC-D1000L2A,http://www.cpplusworld.com/cp-uvc-d1000l2a
1 MP HDCVI IR Dome Camera - 20Mtr.,CP-UVC-DM1000L2,http://www.cpplusworld.com/cp-uvc-dm1000l2
1 MP HDCVI IR Dome Camera - 20 Mtr.,CP-VCQ-D10L2,http://www.cpplusworld.com/cp-vcq-d10l2
1 MP HDCVI IR Bullet Camera - 20 Mtr.,CP-VCQ-T10L2,http://www.cpplusworld.com/cp-vcq-t10l2
1 MP HDCVI IR Bullet Camera - 30 Mtr.,CP-VCQ-T10L3,http://www.cpplusworld.com/cp-vcq-t10l3
1 MP HDX IR Dome Camera - 20 Mtr.,CP-GC-HD10L2-0280,http://www.cpplusworld.com/cp-gc-hd10l2-0280
1 MP HD Astra HD IR Dome Camera - 20 Mtr.,CP-GTC-D10L2,http://www.cpplusworld.com/cp-gtc-d10l2
1 MP HD Astra HD IR Dome Camera - 30 Mtr.,CP-GTC-D10L3,http://www.cpplusworld.com/cp-gtc-d10l3
1 MP HD Astra HD VF IR Dome Camera - 40 Mtr.,CP-GTC-D10FL4,http://www.cpplusworld.com/cp-gtc-d10fl4
1 MP HD Astra HD IR Bullet Camera - 20 Mtr.,CP-GTC-T10L2C,http://www.cpplusworld.com/cp-gtc-t10l2c
1 MP HD Dome Camera - 20 Mtr.,CP-VAC-D10L2,http://www.cpplusworld.com/cp-vac-d10l2
1 MP HD IR Bullet Camera - 20 Mtr.,CP-VAC-T10PL2,http://www.cpplusworld.com/cp-vac-t10pl2
1 MP HD Bullet Camera - 20 Mtr.,CP-VAC-T10L2,http://www.cpplusworld.com/cp-vac-t10l2
1 MP HD IR Bullet Camera - 30 Mtr.,CP-VAC-T10L3,http://www.cpplusworld.com/cp-vac-t10l3
