name,img,link
"CP-VNR-3116 
16 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1889p_cp-vnr-3116.jpg,http://www.cpplusworld.com/cp-vnr-3116
"CP-VNR-3116-8P 
16 Ch. 4K 8PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1892p_cp-vnr-3116-8p.jpg,http://www.cpplusworld.com/cp-vnr-3116-8p
"CP-VNR-3216 
16 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1894p_cp-vnr-3216.jpg,http://www.cpplusworld.com/cp-vnr-3216
"CP-VNR-3216-16P 
16 Ch. 4K 16PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1896p_cp-vnr-3216-8p.jpg,http://www.cpplusworld.com/cp-vnr-3216-16p
"CP-VNR-3416 
16 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1897p_cp-vnr-3416.jpg,http://www.cpplusworld.com/cp-vnr-3416
"CP-VNR-3816 
16 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1899p_cp-vnr-3816.jpg,http://www.cpplusworld.com/cp-vnr-3816
