name,img,link
"CP-VNR-3432 
32 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1898p_cp-vnr-3432.jpg,http://www.cpplusworld.com/cp-vnr-3432
"CP-VNR-3832 
32 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1900p_cp-vnr-3832.jpg,http://www.cpplusworld.com/cp-vnr-3832
"CP-VNR-3232 
32 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1908p_cp-vnr-3232.jpg,http://www.cpplusworld.com/cp-vnr-3232
