name,img,link
"CP-VNR-3108 
8 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1888p_cp-vnr-3108.jpg,http://www.cpplusworld.com/cp-vnr-3108
"CP-VNR-3108-8P 
8 Ch. 4K 8PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1891p_cp-vnr-3108-8p.jpg,http://www.cpplusworld.com/cp-vnr-3108-8p
"CP-VNR-3208 
8 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1893p_cp-vnr-3208.jpg,http://www.cpplusworld.com/cp-vnr-3208
"CP-VNR-3208-8P 
8 Ch. 4K 8PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1895p_cp-vnr-3208-8p.jpg,http://www.cpplusworld.com/cp-vnr-3208-8p
