name,img,link
"CP-VNR-3104 
4 Ch. 4K Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1887p_cp-vnr-3104.jpg,http://www.cpplusworld.com/cp-vnr-3104
"CP-VNR-3104-4P 
4 Ch. 4K 4PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1890p_cp-vnr-3104-4p.jpg,http://www.cpplusworld.com/cp-vnr-3104-4p
