name,img,link
"CP-ENR-1404 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1784p_cp-enr-1404.jpg,http://www.cpplusworld.com/cp-enr-1404
"CP-ENR-1504 
4 Ch. Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1792p_cp-enr-1504.jpg,http://www.cpplusworld.com/cp-enr-1504
"CP-ENR-1404-P4 
4 Ch. 4PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1986p_cp-enr-1404-p4.jpg,http://www.cpplusworld.com/cp-enr-1404-p4
"CP-ENR-1504-P4 
4 Ch. 4PoE Network Video Recorder",http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1987p_cp-enr-1504-p4.jpg,http://www.cpplusworld.com/cp-enr-1504-p4
